"sanders_preference","party","race_white","gender","birthyr"
1,2,0,1,1971
0,3,0,1,1989
0,2,0,1,1996
0,2,1,1,1978
1,1,1,2,1994
1,2,0,2,1990
1,2,1,2,1992
1,2,1,2,1986
1,2,1,2,1994
1,2,0,1,1986
0,1,0,2,1986
0,1,1,1,1988
1,2,1,1,1983
1,1,0,1,1993
0,2,1,2,1986
0,3,1,2,1937
1,2,1,1,1979
1,1,1,1,1988
1,2,1,2,1971
0,1,0,1,1992
0,2,1,1,1951
0,3,1,1,1977
0,2,1,1,1989
1,2,1,1,1974
0,3,1,1,1937
1,1,1,1,1987
NA,2,1,2,1970
1,2,1,2,1967
1,3,1,2,1981
0,1,1,1,1993
1,3,1,2,1989
0,1,1,2,1995
0,1,1,2,1961
0,3,0,1,1973
0,1,0,2,1987
1,2,1,2,1953
0,2,0,1,1972
0,1,0,2,1964
1,3,1,1,1973
1,3,1,2,1942
1,3,1,1,1997
1,3,1,1,1987
0,2,0,2,1991
1,3,1,2,1991
0,1,1,2,1990
1,3,1,2,1993
0,2,1,2,1960
1,2,1,2,1987
NA,1,0,1,1965
1,2,0,1,1993
1,1,1,2,1953
1,1,1,1,1980
1,2,1,2,1957
1,1,1,2,1989
1,3,1,2,1994
0,1,1,2,1986
0,1,1,2,1969
1,1,1,2,1993
1,2,1,2,1982
0,1,0,1,1994
1,2,1,2,1962
0,2,1,2,1985
0,3,0,2,1994
NA,3,1,2,1973
0,1,0,2,1986
0,3,0,1,1985
0,3,1,2,1979
1,1,1,1,1996
1,1,1,2,1991
1,2,1,2,1993
0,1,1,2,1982
0,2,0,2,1973
1,3,1,1,1976
1,3,1,1,1969
0,1,0,2,1978
1,2,1,2,1994
0,3,1,2,1980
1,1,0,1,1975
1,2,1,1,1977
0,1,1,1,1993
1,1,1,1,1988
0,1,1,1,1954
0,2,1,1,1990
0,1,1,1,1974
1,2,0,2,1987
1,1,1,2,1990
1,2,0,1,1975
0,1,1,2,1979
1,1,1,1,1985
1,1,0,2,1971
1,3,1,2,1987
1,2,1,1,1989
1,3,1,2,1952
1,3,1,2,1991
1,1,0,2,1954
1,2,1,2,1982
1,2,1,2,1984
1,2,1,1,1992
1,1,1,2,1987
0,3,1,2,1979
0,2,1,2,1992
1,3,1,2,1968
1,1,0,2,1990
1,1,0,2,1994
1,1,1,2,1988
0,1,0,1,1985
1,2,1,2,1987
0,3,1,2,1986
1,3,1,1,1977
1,2,1,2,1992
1,3,0,2,1964
1,3,1,2,1986
0,3,0,1,1949
1,2,1,2,1962
1,3,1,2,1989
1,1,1,2,1988
1,2,1,2,1992
1,2,1,2,1995
0,1,0,1,1991
1,2,0,2,1954
0,3,1,2,1991
1,2,1,1,1986
1,2,1,1,1989
